number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
745,javascript dashboard for testing voice-to-voice models,https://github.com/vocodedev/vocode-core/issues/745,CLOSED,2025-03-26,False,True,,,,
739,[Bug]: Issue in recording calls,https://github.com/vocodedev/vocode-core/issues/739,CLOSED,2025-01-15,False,True,,,,
699,[Bug]: Execution Blocked in terminate() Function Due to Infinite Loop in DeepgramTranscriber,https://github.com/vocodedev/vocode-core/issues/699,CLOSED,2024-09-03,True,True,,,,
651,Rewrite input streaming,https://github.com/vocodedev/vocode-core/issues/651,CLOSED,2024-07-19,False,True,,,,
648,Refactor interruptions into output device,https://github.com/vocodedev/vocode-core/issues/648,CLOSED,2024-07-19,False,True,,,,
608,Access to Call Recordings for twilio OutboundCall,https://github.com/vocodedev/vocode-core/issues/608,CLOSED,2024-07-05,False,True,,,,
368,Integration of Dual Stream TTS based on NoPause,https://github.com/vocodedev/vocode-core/issues/368,CLOSED,2023-08-23,False,True,,,,
251,"Twilio ""create call"" options not accessible through Vocode",https://github.com/vocodedev/vocode-core/issues/251,CLOSED,2023-06-24,False,True,,,,
100,[EPD-107] Add performance logging for Synthesizers,https://github.com/vocodedev/vocode-core/issues/100,CLOSED,2023-05-09,False,True,,,,
90,[EPD-105] Make BaseConfigManager async,https://github.com/vocodedev/vocode-core/issues/90,CLOSED,2023-05-04,False,True,,,,
21,add a cost estimate tool/section,https://github.com/vocodedev/vocode-core/issues/21,CLOSED,2023-04-02,True,True,,,,
16,echo cancellation when running locally - the output audio is looping back into the input,https://github.com/vocodedev/vocode-core/issues/16,CLOSED,2023-03-30,True,False,,,,
8,Adding support for Hugging Face Hub models,https://github.com/vocodedev/vocode-core/issues/8,CLOSED,2023-03-29,False,True,,,,
