number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
210,Function to automatically truncate max model token,https://github.com/gmpetrov/databerry/issues/210,OPEN,2023-10-24,True,True,,,,
152,Create new plan with User OPEN AI API,https://github.com/gmpetrov/databerry/issues/152,OPEN,2023-09-14,False,True,,,,
141,databerry-base-api-1 error,https://github.com/gmpetrov/databerry/issues/141,OPEN,2023-09-05,False,True,,,,
130,Agent settings: Limit the number of message per visitor,https://github.com/gmpetrov/databerry/issues/130,CLOSED,2023-08-27,False,True,,,,
128,Change directory misspelled paths,https://github.com/gmpetrov/databerry/issues/128,OPEN,2023-08-24,False,True,,,,
127,Error when using GPT-4 model,https://github.com/gmpetrov/databerry/issues/127,OPEN,2023-08-20,False,True,,,,
119,AxiosError: Request failed with status code 429 and body,https://github.com/gmpetrov/databerry/issues/119,OPEN,2023-08-04,True,True,,,,
108,Crisp Plugin Config,https://github.com/gmpetrov/databerry/issues/108,OPEN,2023-07-20,False,True,,,,
101,FR: Discord & Telegram Bot,https://github.com/gmpetrov/databerry/issues/101,OPEN,2023-07-05,False,True,,,,
85,FR: Rate Limiting,https://github.com/gmpetrov/databerry/issues/85,OPEN,2023-06-24,True,False,,,,
58,Invalid encoding,https://github.com/gmpetrov/databerry/issues/58,OPEN,2023-05-30,False,True,,,,
44, maxRetriesPerRequest must be null,https://github.com/gmpetrov/databerry/issues/44,OPEN,2023-05-25,True,False,,,,
16,Implement API rate limiting,https://github.com/gmpetrov/databerry/issues/16,OPEN,2023-04-07,True,False,,,,
