number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
1550,A public social network where SuperAGI agents can discover each other,https://github.com/TransformerOptimus/SuperAGI/issues/1550,OPEN,2026-05-17,False,True,,,,
1520,Integration: Governance layer for autonomous agent execution,https://github.com/TransformerOptimus/SuperAGI/issues/1520,OPEN,2026-04-06,False,True,,,,
1518,AIGEN — AI agent economy. Earn $AIGEN by building.,https://github.com/TransformerOptimus/SuperAGI/issues/1518,OPEN,2026-04-05,False,True,,,,
1503,🤖 Connect your agent to MEEET STATE — earn $MEEET on Solana,https://github.com/TransformerOptimus/SuperAGI/issues/1503,OPEN,2026-03-18,False,True,,,,
1484,Integration: Pinchwork agent-to-agent task marketplace,https://github.com/TransformerOptimus/SuperAGI/issues/1484,OPEN,2026-02-01,False,True,,,,
1435,Azure open ai support,https://github.com/TransformerOptimus/SuperAGI/issues/1435,CLOSED,2024-08-23,False,True,,,,
1418,Thinking Loop because the prompt is not fully transmitted to Local OpenAI API Server,https://github.com/TransformerOptimus/SuperAGI/issues/1418,OPEN,2024-05-05,True,False,,,,
1411,Hugginface requiring an endpoint url on web version,https://github.com/TransformerOptimus/SuperAGI/issues/1411,OPEN,2024-03-09,False,True,,,,
1389,Searx returned 429 status code,https://github.com/TransformerOptimus/SuperAGI/issues/1389,OPEN,2024-01-08,True,True,,,,
1326,Recursive Trajectory Fine-Tuning,https://github.com/TransformerOptimus/SuperAGI/issues/1326,OPEN,2023-10-07,True,True,,,,
1296,Step 3 for Install | Enter your LLM API Key or Auth token in config.yaml file.,https://github.com/TransformerOptimus/SuperAGI/issues/1296,OPEN,2023-09-30,True,True,,,,
1292,ThinkingTool returned: Error generating text: Error parsing vector similarity query: query vector blob size (6144) does not match index's expected size (4). ,https://github.com/TransformerOptimus/SuperAGI/issues/1292,OPEN,2023-09-29,True,False,,,,
1284,Quota exceeded not handled,https://github.com/TransformerOptimus/SuperAGI/issues/1284,OPEN,2023-09-23,True,True,,,,
1279,Trajectory Fine Tuning,https://github.com/TransformerOptimus/SuperAGI/issues/1279,OPEN,2023-09-22,False,True,,,,
1276,"Tool, Knowledge and Model Console",https://github.com/TransformerOptimus/SuperAGI/issues/1276,CLOSED,2023-09-22,False,True,,,,
1257,Agent getting stuck on start due to exception,https://github.com/TransformerOptimus/SuperAGI/issues/1257,CLOSED,2023-09-18,False,True,,,,
1255,Error Handling,https://github.com/TransformerOptimus/SuperAGI/issues/1255,CLOSED,2023-09-18,False,True,,,,
