number,title,url,state,createdAt,title_hit,body_hit,codebook_decision,cluster,would_filter_have_caught,notes
425,[Feature] Clarvia AEO quality gate for external tool calls,https://github.com/OpenBMB/XAgent/issues/425,OPEN,2026-04-01,False,True,,,,
421,GNAP: git-native task board for XAgent's inner/outer loop multi-agent coordination,https://github.com/OpenBMB/XAgent/issues/421,OPEN,2026-03-15,True,True,,,,
400,部署后测试提问‘你好’出现错误,https://github.com/OpenBMB/XAgent/issues/400,OPEN,2024-04-30,False,True,,,,
390,docker拉去成功，run.py后一只重复打印chatcompletion: using gpt-4-32k,https://github.com/OpenBMB/XAgent/issues/390,OPEN,2024-03-10,False,True,,,,
386,Docker Enabling Privileged Mode Causes Container Escapes,https://github.com/OpenBMB/XAgent/issues/386,CLOSED,2024-02-19,False,True,,,,
359,本地离线环境运行XAgent，403 Client Error: Forbidden for url: http://172.18.52.54:8080/get_available_tools,https://github.com/OpenBMB/XAgent/issues/359,CLOSED,2023-12-25,False,True,,,,
354,out loop报错,https://github.com/OpenBMB/XAgent/issues/354,CLOSED,2023-12-21,True,True,,,,
346,"When using Azure token, I got: Must provide an 'engine' or 'deployment_id' parameter ",https://github.com/OpenBMB/XAgent/issues/346,CLOSED,2023-12-15,True,False,,,,
333,"When deployed on a remote server, a port forwarding problem was encountered.",https://github.com/OpenBMB/XAgent/issues/333,CLOSED,2023-12-12,False,True,,,,
301,max retries exceed with url:/v1/chat/completions(caused by sslError,https://github.com/OpenBMB/XAgent/issues/301,CLOSED,2023-12-04,True,True,,,,
288,outer loop无法显示,https://github.com/OpenBMB/XAgent/issues/288,CLOSED,2023-12-01,True,True,,,,
286,运行报错：TypeError: Completions.create() got an unexpected keyword argument 'api_type',https://github.com/OpenBMB/XAgent/issues/286,CLOSED,2023-12-01,False,True,,,,
277,使用webGUI一直卡在outerloop，无任何输出,https://github.com/OpenBMB/XAgent/issues/277,CLOSED,2023-11-29,True,True,,,,
270,"request.exceptions.ConnectionError: HTTPConnectionPool(host='127.0.0.1', port=13520): Max retries exceeded with url",https://github.com/OpenBMB/XAgent/issues/270,CLOSED,2023-11-29,True,True,,,,
258,Set organization in config but get `TypeError: Completions.create() got an unexpected keyword argument 'organization'`,https://github.com/OpenBMB/XAgent/issues/258,CLOSED,2023-11-25,False,True,,,,
252,Completions.create() got an unexpected keyword argument 'organization',https://github.com/OpenBMB/XAgent/issues/252,CLOSED,2023-11-24,False,True,,,,
235,关于调用 ernie-bot-4 模型的疑问,https://github.com/OpenBMB/XAgent/issues/235,CLOSED,2023-11-22,False,True,,,,
215,运行 run.py 时出现 Connection refused,https://github.com/OpenBMB/XAgent/issues/215,CLOSED,2023-11-20,False,True,,,,
208,云服务器上不能安装docker怎么办？,https://github.com/OpenBMB/XAgent/issues/208,CLOSED,2023-11-18,False,True,,,,
205,Submitted a question to the agent. It has been two hours and there is no information on the front-end interface. The back-end is constantly looping,https://github.com/OpenBMB/XAgent/issues/205,CLOSED,2023-11-17,True,False,,,,
200,可以支持文心一言吗？,https://github.com/OpenBMB/XAgent/issues/200,CLOSED,2023-11-15,False,True,,,,
192,gpt 4 turbo support,https://github.com/OpenBMB/XAgent/issues/192,CLOSED,2023-11-11,False,True,,,,
158,每次任务执行到最后都会报错,https://github.com/OpenBMB/XAgent/issues/158,CLOSED,2023-11-03,False,True,,,,
141,chatcompletion error: Error communicating with OpenAI,https://github.com/OpenBMB/XAgent/issues/141,CLOSED,2023-10-30,False,True,,,,
137,Adding Contributors section to the readme.md.,https://github.com/OpenBMB/XAgent/issues/137,CLOSED,2023-10-29,False,True,,,,
132,KeyError: 'Could not automatically map gpt-4 to a tokeniser. Please use `tiktok.get_encoding` to explicitly get the tokeniser you expect.',https://github.com/OpenBMB/XAgent/issues/132,CLOSED,2023-10-28,True,True,,,,
104,Connecting to locally hosted model which is exposed via LM Studio Local Server,https://github.com/OpenBMB/XAgent/issues/104,CLOSED,2023-10-24,False,True,,,,
93,docker compose up命令提示pymongo错误。,https://github.com/OpenBMB/XAgent/issues/93,CLOSED,2023-10-23,False,True,,,,
89,"[BUG] The program is running, but the interface is not updating",https://github.com/OpenBMB/XAgent/issues/89,CLOSED,2023-10-23,False,True,,,,
68,"In the Web service, the page cannot display the progress and running details of inner loop subtask ",https://github.com/OpenBMB/XAgent/issues/68,CLOSED,2023-10-22,True,True,,,,
48,docker-compose up报错 WARNING: Retrying (Retry after connection broken by 'NewConnectionError'),https://github.com/OpenBMB/XAgent/issues/48,CLOSED,2023-10-20,True,False,,,,
44,Error during code execution,https://github.com/OpenBMB/XAgent/issues/44,CLOSED,2023-10-19,False,True,,,,
43,Maximum Context Lenght Problem,https://github.com/OpenBMB/XAgent/issues/43,CLOSED,2023-10-19,False,True,,,,
42,Excessive reflection leading to crazy high token expenditura,https://github.com/OpenBMB/XAgent/issues/42,CLOSED,2023-10-19,True,True,,,,
40,Infinite toolserver-ToolServerNode-1,https://github.com/OpenBMB/XAgent/issues/40,CLOSED,2023-10-19,True,False,,,,
10,[bug]为什么admin用户名登录不了,https://github.com/OpenBMB/XAgent/issues/10,CLOSED,2023-10-17,False,True,,,,
9,Failed to log in when self-host,https://github.com/OpenBMB/XAgent/issues/9,CLOSED,2023-10-17,False,True,,,,
